@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute pacman_direction {Stop,East,West,South,North}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
6,9,None,South,East,None,West,False,False,True,True,1000,1000,1,10,1,1,3,1,6,8,16,9,60,1,1181,West
6,8,North,South,None,None,South,False,False,False,True,1000,1000,1000,12,1,1,3,1,5,1,17,9,59,1,1480,South
6,7,North,South,East,West,South,False,False,False,True,1000,1000,1000,12,1,1,3,1,5,1,16,9,58,1,1579,South
6,8,North,South,None,None,North,False,False,False,True,1000,1000,1000,12,1,1,3,1,5,1,17,9,58,2,1578,North
6,9,None,South,East,None,North,False,False,False,True,1000,1000,1000,11,1,1,3,1,5,1,17,9,58,2,1577,North
7,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,10,1,1,3,1,5,1,17,9,58,3,1576,East
8,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,9,1,1,3,1,5,1,17,9,58,2,1575,East
9,9,None,South,East,West,East,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,17,9,58,1,1574,East
10,9,None,South,East,West,East,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,16,9,57,1,1673,East
11,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,16,9,56,1,1772,East
12,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,9,55,1,1871,East
13,9,None,South,None,West,East,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,9,54,1,1970,East
13,9,None,South,None,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,54,1,1969,Stop
13,8,North,South,None,None,South,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,53,1,2068,South
13,7,North,South,East,None,South,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,16,9,52,1,2167,South
14,7,None,None,East,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,9,51,1,2266,East
15,7,North,None,East,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,50,1,2365,East
15,8,North,South,None,None,North,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,16,9,49,1,2464,North
15,9,None,None,None,None,North,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,15,9,48,1,2763,North
9,3,None,None,East,West,Stop,True,True,True,True,5,5,6,14,8,7,10,7,11,7,17,9,68,1,-1,Stop
9,3,None,None,East,West,Stop,True,True,True,True,6,6,5,13,7,7,11,7,10,7,16,9,68,1,-2,Stop
8,3,North,None,East,West,West,True,True,True,True,4,7,5,14,8,7,11,7,9,7,16,9,67,1,97,West
8,4,North,South,None,None,North,True,True,True,True,3,6,3,12,8,7,11,7,9,6,15,9,67,2,96,North
8,5,None,South,East,None,North,True,True,True,True,2,5,1,10,8,7,11,7,9,5,15,8,67,2,95,North
9,5,North,None,East,West,East,True,True,False,True,2,3,1000,10,9,7,10,7,5,1,15,9,67,3,294,East
9,6,North,South,None,None,North,True,True,False,True,1,1,1000,10,9,7,9,7,5,1,16,9,67,2,293,North
9,7,North,South,East,West,North,True,True,False,True,1,1,1000,10,9,8,10,7,5,1,17,9,67,1,292,North
9,8,North,South,East,None,North,False,True,False,True,1000,1,1000,8,1,1,10,8,5,1,16,9,66,1,591,North
10,8,North,South,None,West,East,False,True,False,True,1000,1,1000,8,1,1,10,9,5,1,17,9,65,1,690,East
10,9,None,South,East,West,North,False,True,False,True,1000,1,1000,8,1,1,11,9,5,1,18,9,64,1,789,North
10,9,None,South,East,West,North,False,True,False,True,1000,1,1000,7,1,1,11,9,5,1,17,9,64,1,788,Stop
11,9,None,None,East,West,East,False,True,False,True,1000,1,1000,5,1,1,12,9,5,1,16,9,63,1,887,East
12,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,4,1,1,12,9,5,1,16,9,62,1,1186,East
13,9,None,South,None,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,61,1,1285,East
13,8,North,South,None,None,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,9,60,1,1384,South
13,7,North,South,East,None,South,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,15,9,59,1,1483,South
14,7,None,None,East,West,East,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,58,1,1582,East
15,7,North,None,East,West,East,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,57,1,1681,East
15,8,North,South,None,None,North,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,16,9,56,1,1780,North
15,9,None,None,None,None,North,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,15,9,55,1,2079,North
9,3,None,None,East,West,Stop,True,True,True,True,8,5,6,17,3,5,8,7,11,7,18,11,95,1,-1,Stop
9,3,None,None,East,West,Stop,True,True,True,True,9,4,6,16,3,6,9,7,11,7,17,11,95,1,-2,Stop
8,3,None,None,East,West,West,True,True,True,True,7,6,6,18,3,5,9,8,10,7,18,11,94,1,97,West
7,3,None,None,East,West,West,True,True,True,True,6,6,8,18,3,5,9,7,10,8,17,11,93,1,196,West
6,3,North,None,East,None,West,True,True,True,True,4,8,8,20,4,5,10,7,9,8,18,11,92,1,295,West
6,4,North,South,None,None,North,True,True,True,True,4,8,8,18,3,5,10,8,10,8,18,10,91,1,394,North
6,5,North,South,East,West,North,True,True,True,True,2,6,6,17,4,5,9,8,10,7,18,10,90,1,493,North
5,5,None,None,East,West,West,True,True,True,True,2,7,8,19,3,5,9,8,10,8,18,11,89,1,592,West
4,5,None,South,East,West,West,True,True,True,True,1,8,9,19,3,5,9,8,10,8,18,10,88,1,691,West
3,5,North,None,East,None,West,True,True,True,True,1,8,10,20,3,6,9,7,10,8,18,10,88,1,690,West
3,6,North,South,None,None,North,True,True,True,True,1,6,10,20,3,7,8,7,10,9,18,11,87,1,789,North
3,7,North,South,East,West,North,True,True,True,True,1,6,10,18,2,7,9,7,11,9,18,10,86,1,888,North
2,7,None,None,East,West,West,False,True,True,True,1000,6,11,19,2,7,8,7,11,9,18,10,85,1,1187,West
3,7,North,South,East,West,East,False,True,True,True,1000,5,10,18,1,1,8,7,11,9,18,10,85,1,1186,East
4,7,None,None,East,West,East,False,True,True,True,1000,4,9,18,1,1,8,7,11,9,18,11,84,1,1285,East
5,7,None,None,East,West,East,False,True,True,True,1000,3,8,17,1,1,8,7,11,9,18,11,83,1,1384,East
6,7,North,South,None,West,East,False,True,True,True,1000,2,7,15,1,1,8,7,11,9,18,10,82,1,1483,East
6,8,North,South,None,None,North,False,True,True,True,1000,4,7,14,1,1,9,7,12,9,18,10,81,1,1582,North
6,9,North,South,East,West,North,False,True,True,True,1000,6,7,12,1,1,10,7,13,9,18,9,80,1,1681,North
7,9,None,None,East,West,East,False,True,True,True,1000,5,5,11,1,1,10,7,12,9,18,9,79,1,1780,East
8,9,None,None,East,West,East,False,True,True,True,1000,4,3,11,1,1,10,7,11,9,18,10,78,1,1879,East
9,9,None,South,East,West,East,False,True,True,True,1000,2,3,11,1,1,10,8,12,9,18,11,77,1,1978,East
10,9,None,South,East,West,East,False,True,True,True,1000,2,1,9,1,1,10,7,11,9,18,10,76,1,2077,East
10,8,North,South,None,West,South,False,False,True,True,1000,1000,3,9,1,1,10,8,12,9,18,9,76,2,2276,South
10,9,None,South,East,West,North,False,False,True,True,1000,1000,2,9,1,1,3,1,12,9,18,10,76,1,2275,North
10,9,None,South,East,West,North,False,False,True,True,1000,1000,3,8,1,1,3,1,13,9,18,9,76,1,2274,Stop
11,9,None,None,East,West,East,False,False,True,True,1000,1000,1,7,1,1,3,1,12,9,18,9,75,1,2373,East
12,9,None,None,East,West,East,False,False,True,True,1000,1000,1,7,1,1,3,1,13,9,18,8,74,1,2472,East
13,9,North,South,East,West,East,False,False,False,True,1000,1000,1000,7,1,1,3,1,13,9,18,7,73,1,2771,East
14,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,7,72,1,2870,East
15,9,North,None,East,West,East,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,7,71,1,2969,East
16,9,None,South,None,West,East,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,16,7,70,1,3068,East
16,8,North,South,None,None,South,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,16,7,69,1,3167,South
16,7,North,South,East,West,South,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,15,7,68,1,3266,South
16,6,North,South,None,None,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,14,7,67,1,3365,South
16,5,North,None,None,West,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,7,66,1,3464,South
16,6,North,South,None,None,North,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,16,7,66,2,3463,North
16,7,North,South,East,West,North,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,16,8,66,1,3462,North
16,8,None,None,None,None,North,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,16,8,66,2,3661,North
9,3,None,None,East,West,Stop,True,True,True,True,8,5,6,17,3,5,8,7,11,7,18,11,95,1,-1,Stop
8,3,None,None,East,West,West,True,True,True,True,7,4,6,17,3,5,8,7,10,7,18,10,94,1,98,West
7,3,None,None,East,West,West,True,True,True,True,7,6,6,17,3,6,9,7,9,7,18,9,93,1,197,West
6,3,North,None,East,None,West,True,True,True,True,5,8,6,19,3,5,10,7,8,7,18,10,92,1,296,West
6,4,North,South,None,None,North,True,True,True,True,3,8,5,17,4,5,10,8,8,7,18,9,91,1,395,North
6,5,North,South,East,West,North,True,True,True,True,3,6,5,16,4,4,10,7,9,7,18,9,90,1,494,North
5,5,None,None,East,West,West,True,True,True,True,1,8,7,16,4,5,11,7,9,8,18,8,89,1,593,West
4,5,None,South,East,West,West,False,True,True,True,1000,9,9,17,1,1,11,7,10,8,18,8,88,1,892,West
5,5,None,None,East,West,East,False,True,True,True,1000,7,9,16,1,1,10,7,10,9,18,8,88,2,891,East
6,5,North,South,East,West,East,False,True,True,True,1000,7,7,14,1,1,10,8,10,8,18,7,88,1,890,East
6,6,North,South,None,None,North,False,True,True,True,1000,7,5,14,1,1,10,9,9,8,18,8,87,1,989,North
6,7,North,South,None,West,North,False,True,True,True,1000,5,5,13,1,1,9,9,9,9,18,8,86,1,1088,North
6,8,North,South,None,None,North,False,True,True,True,1000,3,3,13,1,1,9,8,8,9,18,9,85,1,1187,North
6,9,North,South,East,West,North,False,True,True,True,1000,5,2,13,1,1,9,7,8,9,18,8,84,1,1286,North
7,9,None,None,East,West,East,False,True,True,True,1000,3,2,13,1,1,8,7,9,9,18,7,83,1,1385,East
8,9,None,None,East,West,East,False,True,True,True,1000,3,2,12,1,1,9,7,9,8,18,7,82,1,1484,East
9,9,None,South,East,West,East,False,True,True,True,1000,2,1,11,1,1,9,7,9,8,18,7,81,1,1583,East
9,8,North,South,East,None,South,False,True,False,True,1000,2,1000,9,1,1,10,7,5,1,17,7,81,2,1782,South
9,7,North,None,East,West,South,False,False,False,True,1000,1000,1000,9,1,1,9,7,5,1,18,7,81,2,1981,South
9,8,North,South,East,None,North,False,False,False,True,1000,1000,1000,10,1,1,3,1,5,1,18,7,81,2,1980,North
9,9,None,South,East,West,North,False,False,False,True,1000,1000,1000,11,1,1,3,1,5,1,18,7,81,1,1979,North
10,9,None,South,East,West,East,False,False,False,True,1000,1000,1000,10,1,1,3,1,5,1,18,7,80,1,2078,East
11,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,9,1,1,3,1,5,1,18,7,79,1,2177,East
12,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,18,7,78,1,2276,East
13,9,North,South,East,West,East,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,17,7,77,1,2375,East
14,9,None,None,East,West,East,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,7,76,1,2474,East
15,9,North,None,East,West,East,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,6,75,1,2573,East
16,9,None,South,None,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,6,74,1,2672,East
16,8,North,South,None,None,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,5,73,1,2771,South
16,7,North,South,East,West,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,5,72,1,2870,South
16,6,North,South,None,None,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,4,71,1,2969,South
16,5,North,None,None,West,South,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,4,70,1,3068,South
15,5,None,South,East,West,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,3,69,1,3167,West
15,4,None,None,None,None,South,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,15,4,68,1,3466,South
1,3,North,None,East,None,Stop,True,True,True,True,7,6,7,6,1,10,2,8,2,9,3,7,5,2,-1,Stop
1,3,North,None,East,None,Stop,True,True,True,True,7,6,8,6,1,10,2,8,2,10,3,7,5,2,-2,Stop
1,4,North,South,East,None,North,True,True,True,True,5,5,8,4,1,9,2,8,3,10,2,7,5,3,-3,North
1,5,North,South,East,None,North,True,True,True,True,4,3,7,2,1,9,2,7,3,10,2,6,5,2,-4,North
1,6,North,South,East,None,North,True,True,True,True,4,1,7,2,2,9,2,6,4,10,2,7,5,1,-5,North
2,6,North,South,East,West,East,True,False,True,True,4,1000,6,2,1,9,3,1,4,10,2,8,5,2,194,East
3,6,North,South,East,West,East,True,False,True,True,4,1000,4,2,1,8,3,1,3,10,2,7,5,1,193,East
3,7,North,South,East,West,North,True,False,True,True,3,1000,3,2,1,8,3,1,3,10,2,8,5,2,192,North
2,7,North,South,East,West,West,True,False,True,True,1,1000,3,2,2,8,3,1,2,10,1,8,5,1,191,West
1,7,North,South,East,None,West,True,False,True,False,2,1000,4,1000,2,8,3,1,2,10,1,7,4,2,490,West
1,8,North,South,East,None,North,True,False,True,False,2,1000,3,1000,3,8,3,1,2,10,7,1,4,1,489,North
2,8,North,South,East,West,East,True,False,True,False,2,1000,2,1000,4,8,3,1,2,10,7,1,4,2,488,East
3,8,North,South,East,West,East,True,False,True,False,2,1000,2,1000,5,8,3,1,2,9,7,1,4,1,487,East
4,8,North,South,East,West,East,True,False,True,False,1,1000,4,1000,5,8,3,1,2,10,7,1,4,2,486,East
3,8,North,South,East,West,West,True,False,True,False,3,1000,4,1000,6,8,3,1,1,10,7,1,4,1,485,West
2,8,North,South,East,West,West,True,False,True,False,4,1000,2,1000,6,8,3,1,2,10,7,1,4,2,484,West
2,9,North,South,East,West,North,True,False,True,False,6,1000,2,1000,7,8,3,1,3,10,7,1,4,1,483,North
2,10,None,South,East,West,North,True,False,True,False,6,1000,1,1000,6,8,3,1,3,10,7,1,4,2,482,North
3,10,None,South,East,West,East,True,False,True,False,6,1000,1,1000,6,7,3,1,3,9,7,1,4,1,481,East
4,10,None,South,East,West,East,True,False,True,False,4,1000,2,1000,5,7,3,1,3,9,7,1,4,2,480,East
4,9,North,South,East,West,South,True,False,True,False,4,1000,2,1000,5,6,3,1,2,9,7,1,4,1,479,South
3,9,North,South,East,West,West,True,False,True,False,4,1000,2,1000,4,6,3,1,2,8,7,1,3,2,578,West
2,9,North,South,East,West,West,True,False,True,False,5,1000,2,1000,4,6,3,1,3,8,7,1,3,1,577,West
2,8,North,South,East,West,South,True,False,True,False,4,1000,2,1000,4,6,3,1,3,7,7,1,3,2,576,South
3,8,North,South,East,West,East,True,False,False,False,3,1000,1000,1000,4,6,3,1,3,8,7,1,3,3,775,East
3,7,North,South,East,West,South,True,False,False,False,3,1000,1000,1000,5,6,3,1,5,1,7,1,3,2,774,South
3,6,North,South,East,West,South,True,False,False,False,3,1000,1000,1000,5,7,3,1,5,1,7,1,3,1,773,South
4,6,North,South,East,West,East,True,False,False,False,3,1000,1000,1000,6,7,3,1,5,1,7,1,3,2,772,East
4,7,North,South,East,West,North,True,False,False,False,3,1000,1000,1000,7,7,3,1,5,1,7,1,3,3,771,North
4,8,North,South,East,West,North,True,False,False,False,4,1000,1000,1000,7,7,3,1,5,1,7,1,3,4,770,North
5,8,North,South,East,West,East,True,False,False,False,2,1000,1000,1000,6,7,3,1,5,1,7,1,3,5,769,East
6,8,North,South,East,West,East,True,False,False,False,2,1000,1000,1000,6,6,3,1,5,1,7,1,3,6,768,East
6,7,North,South,East,West,South,True,False,False,False,2,1000,1000,1000,7,6,3,1,5,1,7,1,3,5,767,South
6,6,North,South,East,West,South,True,False,False,False,1,1000,1000,1000,7,6,3,1,5,1,7,1,3,4,766,South
7,6,None,None,None,None,East,False,False,False,False,1000,1000,1000,1000,7,6,3,1,5,1,7,1,3,5,965,East
1,3,North,None,East,None,Stop,True,True,True,True,7,6,7,6,1,10,2,8,2,9,3,7,5,2,-1,Stop
1,4,North,South,East,None,North,True,True,True,True,7,5,7,6,2,10,2,8,3,9,3,8,5,3,-2,North
1,5,North,South,East,None,North,True,True,True,True,7,3,7,4,3,10,2,7,4,9,2,8,5,2,-3,North
1,6,North,South,East,None,North,True,True,True,True,5,3,5,2,2,10,2,8,3,9,1,8,5,1,-4,North
1,7,North,South,East,None,North,True,True,True,True,5,1,5,2,3,10,2,7,3,10,1,9,4,2,95,North
2,7,North,South,East,West,East,True,False,True,True,3,1000,5,3,2,10,2,7,4,10,1,9,4,3,294,East
2,8,North,South,East,West,North,True,False,True,True,1,1000,3,1,2,9,3,1,3,10,2,9,4,2,293,North
2,9,North,South,East,West,North,True,False,True,False,1,1000,1,1000,2,10,3,1,2,10,2,9,4,1,492,North
2,10,None,South,East,West,North,True,False,False,False,1,1000,1000,1000,3,10,3,1,2,10,7,1,4,2,691,North
1,11,None,South,East,None,Stop,True,True,True,True,11,7,7,18,6,5,6,9,8,11,14,6,2,14,-1,Stop
1,11,None,South,East,None,Stop,True,True,True,True,12,6,6,18,7,5,5,9,7,11,14,6,2,14,-2,Stop
2,11,None,None,East,West,East,True,True,True,True,12,6,6,17,8,5,6,9,8,11,14,6,2,13,-3,East
3,11,None,None,East,West,East,True,True,True,True,12,6,4,17,8,4,7,9,7,11,14,5,2,12,-4,East
4,11,None,None,East,West,East,True,True,True,True,12,6,2,15,9,4,8,9,6,11,14,6,2,11,-5,East
5,11,None,South,East,West,East,True,True,False,True,11,5,1000,15,9,4,8,9,5,11,14,5,2,10,194,East
6,11,None,South,East,West,East,True,True,False,True,11,3,1000,15,10,4,7,9,5,1,15,5,2,9,193,East
6,10,North,South,None,West,South,True,True,False,True,9,2,1000,15,10,5,7,9,5,1,16,5,2,8,192,South
6,9,North,South,East,West,South,True,True,False,True,9,1,1000,14,11,5,7,9,5,1,16,5,2,7,191,South
7,9,None,South,East,West,East,True,False,False,True,7,1000,1000,14,10,5,7,9,5,1,17,5,2,6,390,East
8,9,None,South,East,West,East,True,False,False,True,5,1000,1000,12,9,5,3,1,5,1,16,5,2,5,389,East
8,8,North,South,East,West,South,True,False,False,True,3,1000,1000,12,9,6,3,1,5,1,16,4,2,4,388,South
8,7,North,South,East,West,South,True,False,False,True,3,1000,1000,12,9,5,3,1,5,1,17,4,2,3,387,South
8,6,North,South,East,None,South,True,False,False,True,3,1000,1000,10,9,4,3,1,5,1,17,5,2,2,386,South
8,5,North,South,East,West,South,True,False,False,True,1,1000,1000,10,8,4,3,1,5,1,18,5,2,3,385,South
9,5,North,South,East,West,East,True,False,False,True,3,1000,1000,10,8,3,3,1,5,1,18,4,2,2,384,East
8,5,North,South,East,West,West,True,False,False,True,3,1000,1000,12,9,3,3,1,5,1,18,3,2,3,383,West
7,5,None,South,East,West,West,True,False,False,True,5,1000,1000,13,10,3,3,1,5,1,18,3,2,4,382,West
7,4,North,South,East,West,South,True,False,False,True,5,1000,1000,11,11,3,3,1,5,1,17,3,2,5,381,South
7,3,North,None,East,West,South,True,False,False,True,3,1000,1000,10,10,3,3,1,5,1,17,3,2,6,380,South
8,3,North,None,East,West,East,True,False,False,True,3,1000,1000,10,11,3,3,1,5,1,18,3,2,5,379,East
9,3,North,None,East,West,East,True,False,False,True,3,1000,1000,10,11,4,3,1,5,1,18,4,2,4,378,East
10,3,North,None,East,West,East,True,False,False,True,3,1000,1000,8,11,5,3,1,5,1,18,3,2,3,377,East
10,4,North,South,East,West,North,True,False,False,True,2,1000,1000,9,11,5,3,1,5,1,18,3,2,2,376,North
11,4,North,South,None,West,East,True,False,False,True,2,1000,1000,8,12,5,3,1,5,1,18,3,2,3,375,East
11,4,North,South,None,West,East,True,False,False,True,1,1000,1000,8,11,5,3,1,5,1,18,3,2,3,374,Stop
11,5,None,South,East,West,North,False,False,False,True,1000,1000,1000,8,11,5,3,1,5,1,17,3,2,2,573,North
12,5,None,None,East,West,East,False,False,False,True,1000,1000,1000,7,1,1,3,1,5,1,17,3,2,3,572,East
13,5,None,South,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,16,3,2,4,571,East
14,5,North,South,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,3,2,5,570,East
14,4,North,South,East,West,South,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,18,3,2,6,569,South
15,4,North,South,East,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,18,4,2,7,568,East
16,4,North,South,East,West,East,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,17,4,2,8,567,East
17,4,North,South,East,West,East,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,17,5,2,9,566,East
18,4,North,South,None,West,East,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,18,5,2,10,565,East
18,5,North,South,None,West,North,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,18,6,2,9,564,North
