@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R7

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
5,12,North,South,East,West,True,False,True,False,13,1000,12,1000,9,3,3,1,11,6,7,1,1,16,387,East
5,11,North,None,East,West,True,False,True,False,12,1000,11,1000,9,3,3,1,11,6,7,1,1,15,386,South
6,11,North,South,East,West,True,False,True,False,11,1000,10,1000,9,3,3,1,11,6,7,1,1,14,385,East
6,10,North,South,East,None,True,False,True,False,11,1000,8,1000,10,3,3,1,10,6,7,1,1,13,384,South
7,10,North,South,East,West,True,False,True,False,11,1000,6,1000,11,3,3,1,10,7,7,1,1,12,383,East
7,9,North,South,East,West,True,False,True,False,9,1000,6,1000,11,4,3,1,10,6,7,1,1,11,382,South
7,8,North,South,East,West,True,False,True,False,7,1000,4,1000,11,5,3,1,9,6,7,1,1,12,381,South
8,8,North,South,East,West,True,False,True,False,7,1000,2,1000,11,4,3,1,9,7,7,1,1,11,380,East
8,7,North,South,East,West,True,False,True,False,6,1000,1,1000,11,4,3,1,9,7,7,1,1,12,379,South
9,7,North,South,East,West,True,False,False,False,4,1000,1000,1000,11,5,3,1,5,1,7,1,1,11,578,East
10,7,North,South,East,West,True,False,False,False,2,1000,1000,1000,11,6,3,1,5,1,7,1,1,10,577,East
10,6,North,South,East,West,True,False,False,False,1,1000,1000,1000,11,6,3,1,5,1,7,1,1,11,576,South
2,11,None,None,East,West,True,True,True,True,10,6,6,17,6,5,6,9,8,11,14,6,2,13,-1,East
3,11,None,None,East,West,True,True,True,True,10,5,4,17,6,4,6,9,7,11,14,5,2,12,-2,East
4,11,None,None,East,West,True,True,True,True,10,3,2,17,6,3,5,9,6,11,15,5,2,11,-3,East
3,11,None,None,East,West,True,True,True,True,12,3,4,19,7,3,4,9,7,11,15,4,2,12,-4,West
2,11,None,None,East,West,True,True,True,True,14,3,6,19,8,3,3,9,8,11,15,5,2,13,-5,West
3,11,None,None,East,West,True,True,True,True,13,3,4,19,8,3,2,9,7,11,16,5,2,12,-6,East
2,11,None,None,East,West,True,True,True,True,13,3,6,21,8,4,2,8,8,11,17,5,2,13,-7,West
3,11,None,None,East,West,True,True,True,True,13,3,6,21,9,4,3,8,9,11,17,4,2,12,-8,East
2,11,None,None,East,West,True,True,True,True,15,5,7,21,9,3,3,7,9,11,17,5,2,13,-9,West
3,11,None,None,East,West,True,True,True,True,13,3,6,20,9,4,3,8,9,11,17,5,2,12,-10,East
4,11,None,None,East,West,True,True,True,True,13,3,4,19,10,4,3,9,8,11,17,5,2,11,-11,East
5,11,None,South,East,West,True,True,True,True,12,3,3,17,10,4,4,9,8,11,16,5,2,10,-12,East
6,11,None,South,East,West,True,True,True,True,11,5,1,16,10,4,4,8,7,11,16,5,2,9,-13,East
6,10,North,South,None,West,True,True,False,True,11,3,1000,15,11,4,5,8,5,1,16,5,2,8,186,South
6,9,North,South,East,West,True,True,False,True,9,3,1000,14,10,4,4,8,5,1,16,5,2,7,185,South
6,8,North,South,East,West,True,True,False,True,8,3,1000,13,10,4,4,7,5,1,16,5,2,6,184,South
5,8,North,South,East,West,True,True,False,True,8,2,1000,15,9,4,4,7,5,1,16,4,2,7,183,West
5,7,North,None,East,West,True,False,False,True,6,1000,1000,13,9,5,5,7,5,1,15,4,2,6,382,South
6,7,North,None,East,West,True,False,False,True,6,1000,1000,12,10,5,3,1,5,1,15,4,2,5,381,East
7,7,North,None,East,West,True,False,False,True,6,1000,1000,12,10,4,3,1,5,1,16,4,2,4,380,East
6,7,North,None,East,West,True,False,False,True,8,1000,1000,12,10,3,3,1,5,1,16,5,2,5,379,West
7,7,North,None,East,West,True,False,False,True,7,1000,1000,12,10,3,3,1,5,1,16,4,2,4,378,East
8,7,North,South,East,West,True,False,False,True,5,1000,1000,10,10,4,3,1,5,1,16,5,2,3,377,East
8,6,North,South,East,None,True,False,False,True,3,1000,1000,8,9,4,3,1,5,1,15,5,2,2,376,South
8,5,North,South,East,West,True,False,False,True,1,1000,1000,8,9,5,3,1,5,1,16,5,2,3,375,South
8,4,North,South,East,West,True,False,False,True,1,1000,1000,8,9,4,3,1,5,1,16,4,2,4,374,South
8,3,North,None,East,West,True,False,False,True,1,1000,1000,9,9,3,3,1,5,1,16,4,2,5,373,South
9,3,North,None,East,West,False,False,False,True,1000,1000,1000,9,9,3,3,1,5,1,17,4,2,4,572,East
10,3,North,None,East,West,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,17,4,2,3,571,East
11,3,North,None,None,West,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,18,4,2,4,570,East
11,4,North,South,None,West,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,18,5,2,3,569,North
11,5,None,South,East,West,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,17,5,2,2,568,North
12,5,None,None,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,5,2,3,567,East
13,5,None,South,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,4,2,4,566,East
14,5,North,South,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,3,2,5,565,East
15,5,None,South,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,17,4,2,6,564,East
16,5,None,South,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,17,3,2,7,563,East
16,4,North,South,East,West,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,17,4,2,8,562,South
17,4,North,South,East,West,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,17,5,2,9,561,East
17,5,None,None,None,None,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,17,5,2,8,760,North
2,11,None,None,East,West,True,True,True,True,10,6,6,17,6,5,6,9,8,11,14,6,2,13,-1,East
3,11,None,None,East,West,True,True,True,True,8,6,4,17,5,5,6,8,7,11,14,5,2,12,-2,East
4,11,None,None,East,West,True,True,True,True,8,6,3,15,5,4,6,7,7,11,14,6,2,11,-3,East
5,11,None,South,East,West,True,True,True,True,8,4,2,14,4,4,6,8,7,11,14,6,2,10,-4,East
6,11,None,South,East,West,True,True,False,True,9,4,1000,12,4,4,5,8,6,11,14,7,2,9,195,East
6,10,North,South,None,West,True,True,False,True,9,4,1000,10,3,4,5,7,5,1,13,7,2,8,194,South
6,9,North,South,East,West,True,True,False,True,7,2,1000,8,4,4,5,8,5,1,13,8,2,7,193,South
5,9,North,South,East,West,True,False,False,True,5,1000,1000,9,5,4,5,9,5,1,13,8,2,8,392,West
5,8,North,South,East,West,True,False,False,True,5,1000,1000,9,6,4,3,1,5,1,13,9,2,7,391,South
5,7,North,None,East,West,True,False,False,True,5,1000,1000,10,7,4,3,1,5,1,13,9,2,6,390,South
4,7,North,None,East,West,True,False,False,True,5,1000,1000,10,6,4,3,1,5,1,13,8,2,7,389,West
5,7,North,None,East,West,True,False,False,True,5,1000,1000,8,7,4,3,1,5,1,12,8,2,6,388,East
5,8,North,South,East,West,True,False,False,True,7,1000,1000,8,7,3,3,1,5,1,12,9,2,7,387,North
5,7,North,None,East,West,True,False,False,True,5,1000,1000,10,7,4,3,1,5,1,13,9,2,6,386,South
6,7,North,None,East,West,True,False,False,True,5,1000,1000,8,7,3,3,1,5,1,13,8,2,5,385,East
7,7,North,None,East,West,True,False,False,True,3,1000,1000,6,7,4,3,1,5,1,12,8,2,4,384,East
8,7,North,South,East,West,True,False,False,True,4,1000,1000,5,7,4,3,1,5,1,12,8,2,3,383,East
8,6,North,South,East,None,True,False,False,True,2,1000,1000,5,8,4,3,1,5,1,12,7,2,2,382,South
8,5,North,South,East,West,False,False,False,True,1000,1000,1000,7,8,5,3,1,5,1,12,8,2,3,581,South
9,5,North,South,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,12,7,2,2,580,East
10,5,North,South,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,13,7,2,1,579,East
11,5,None,South,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,13,8,2,2,578,East
12,5,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,13,8,2,3,577,East
13,5,None,South,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,12,8,2,4,576,East
12,5,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,13,8,2,3,575,West
13,5,None,South,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,12,8,2,4,574,East
12,5,None,None,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,12,8,2,3,573,West
13,5,None,South,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,12,8,2,4,572,East
12,5,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,13,8,2,3,571,West
13,5,None,South,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,14,8,2,4,570,East
14,5,North,South,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,15,8,2,5,569,East
14,6,North,South,None,None,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,15,9,2,4,568,North
14,7,North,South,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,2,3,567,North
14,8,North,South,East,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,9,2,2,566,North
14,9,North,South,East,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,16,9,2,1,565,North
15,9,None,None,None,None,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,15,9,2,2,764,East
1,4,North,South,East,None,True,True,True,True,6,5,6,5,1,10,2,8,2,9,3,7,5,3,-1,North
1,5,North,South,East,None,True,True,True,True,4,3,6,5,1,9,2,7,3,9,4,7,5,2,-2,North
1,6,North,South,East,None,True,True,True,True,2,1,6,5,1,8,1,7,4,9,5,7,5,1,-3,North
1,7,North,South,East,None,False,False,True,True,1000,1000,4,5,1,7,3,1,3,9,5,6,4,2,496,North
2,7,North,South,East,West,False,False,True,True,1000,1000,2,3,1,1,3,1,3,8,5,7,4,3,495,East
3,7,North,South,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,3,7,5,6,4,2,694,East
4,7,North,South,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,5,5,4,3,693,East
4,6,North,South,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,5,4,4,2,692,South
4,5,North,South,East,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,5,4,4,1,691,South
4,4,North,South,East,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,6,4,4,2,690,South
5,4,North,South,East,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,6,3,4,3,689,East
5,3,North,None,East,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,7,3,4,2,688,South
6,3,None,None,None,None,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,6,3,4,3,887,East
1,4,North,South,East,None,True,True,True,True,6,5,6,5,1,10,2,8,2,9,3,7,5,3,-1,North
1,5,North,South,East,None,True,True,True,True,4,3,4,5,1,9,1,8,2,8,4,7,5,2,-2,North
1,6,North,South,East,None,True,True,True,True,3,1,4,5,1,9,1,7,2,9,4,8,5,1,-3,North
1,7,North,South,East,None,True,True,True,True,1,1,2,5,1,8,1,8,2,8,4,9,4,2,96,North
1,8,North,South,East,None,True,True,True,True,1,1,2,5,2,8,2,8,3,8,4,10,4,1,95,North
2,8,North,South,East,West,True,True,True,True,1,1,1,4,3,8,3,8,3,8,4,10,4,2,94,East
3,8,North,South,East,West,True,True,False,True,1,1,1000,2,3,9,3,9,3,8,3,10,4,1,293,East
3,9,North,South,East,West,True,True,False,True,1,1,1000,2,2,9,2,9,5,1,2,10,3,2,392,North
2,9,North,South,East,West,False,True,False,False,1000,1,1000,1000,2,9,1,9,5,1,2,9,3,1,791,West
2,8,North,South,East,West,False,True,False,False,1000,1,1000,1000,1,1,1,8,5,1,7,1,3,2,790,South
2,7,North,South,East,West,False,True,False,False,1000,1,1000,1000,1,1,1,7,5,1,7,1,3,3,789,South
8,3,North,None,East,West,True,True,True,True,4,6,7,15,8,7,10,7,11,7,17,9,67,1,99,West
8,4,North,South,None,None,True,True,True,True,3,6,6,13,8,7,10,8,11,7,16,9,67,2,98,North
8,5,None,South,East,None,True,True,True,True,3,4,5,12,9,7,9,8,11,7,16,9,67,2,97,North
9,5,North,None,East,West,True,True,True,True,1,4,3,12,9,6,10,8,10,7,17,9,67,3,96,East
9,6,North,South,None,None,False,True,True,True,1000,3,2,10,9,6,10,8,10,7,16,9,67,2,295,North
9,7,North,South,East,West,False,True,True,True,1000,1,2,10,1,1,9,8,10,8,17,9,67,1,294,North
9,8,North,South,East,None,False,False,False,True,1000,1000,1000,8,1,1,3,1,9,8,16,9,66,1,793,North
10,8,North,South,None,West,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,15,9,65,1,892,East
10,9,None,South,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,15,9,64,1,991,North
11,9,None,None,East,West,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,15,8,63,1,1090,East
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,15,8,62,1,1189,East
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,9,61,1,1288,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,1,1387,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,9,60,2,1386,North
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,9,60,3,1385,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1384,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,1,1383,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,60,2,1382,North
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,3,1381,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,15,9,60,2,1380,East
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,3,1379,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1378,East
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,15,9,60,3,1377,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1376,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,9,60,1,1375,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,9,60,2,1374,North
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,9,60,1,1373,South
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,60,2,1372,North
12,9,None,None,East,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,16,9,60,3,1371,West
13,9,None,South,None,West,False,False,False,True,1000,1000,1000,4,1,1,3,1,5,1,17,9,60,2,1370,East
13,8,North,South,None,None,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,18,9,60,1,1369,South
